"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","9호선","마곡나루(서울식물원)","7586","7627","20230504"
"20230501","공항철도 1호선","마곡나루(서울식물원)","4062","4249","20230504"
"20230501","일산선","마두","6707","6821","20230504"
"20230501","7호선","마들","10119","9451","20230504"
"20230501","경춘선","마석","4015","3969","20230504"
"20230501","5호선","마장","4267","4004","20230504"
"20230501","5호선","마천","5559","5621","20230504"
"20230501","5호선","마포","8531","8445","20230504"
"20230501","6호선","마포구청","10463","9548","20230504"
"20230501","중앙선","망우","6705","6551","20230504"
"20230501","6호선","망원","13273","14387","20230504"
"20230501","경원선","망월사","8889","9022","20230504"
"20230501","분당선","망포","9639","9973","20230504"
"20230501","분당선","매교","3871","3747","20230504"
"20230501","3호선","매봉","6409","6495","20230504"
"20230501","분당선","매탄권선","3953","3871","20230504"
"20230501","7호선","먹골","7930","7959","20230504"
"20230501","7호선","면목","11448","11081","20230504"
"20230501","4호선","명동","28644","31756","20230504"
"20230501","5호선","명일","6923","7026","20230504"
"20230501","경부선","명학","6255","6019","20230504"
"20230501","분당선","모란","15866","16639","20230504"
"20230501","8호선","모란","4101","3551","20230504"
"20230501","5호선","목동","12355","12969","20230504"
"20230501","8호선","몽촌토성(평화의문)","5998","5814","20230504"
"20230501","3호선","무악재","3384","3566","20230504"
"20230501","2호선","문래","11427","12030","20230504"
"20230501","경의선","문산","5268","5144","20230504"
"20230501","8호선","문정","8569","9022","20230504"
"20230501","분당선","미금","10964","11482","20230504"
"20230501","5호선","미사","13097","13495","20230504"
"20230501","4호선","미아(서울사이버대학)","13653","13196","20230504"
"20230501","4호선","미아사거리","22930","22280","20230504"
"20230501","안산선","반월","3670","3607","20230504"
"20230501","7호선","반포","5215","4969","20230504"
"20230501","5호선","발산","13005","13589","20230504"
"20230501","2호선","방배","10475","10757","20230504"
"20230501","5호선","방이","5540","5507","20230504"
"20230501","경원선","방학","8550","8148","20230504"
"20230501","5호선","방화","5267","5164","20230504"
"20230501","장항선","배방","1283","1414","20230504"
"20230501","경의선","백마","5199","4857","20230504"
"20230501","일산선","백석","7895","7836","20230504"
"20230501","경춘선","백양리","116","133","20230504"
"20230501","경인선","백운","5643","5487","20230504"
"20230501","6호선","버티고개","1634","1779","20230504"
"20230501","과천선","범계","20767","20533","20230504"
"20230501","경춘선","별내","2677","2549","20230504"
